OrderID,OrderDate,CustomerID,ProductID,OrderQuantity,SalesAmount
SO43697,2010-12-29,21768,310,1,3578.27
SO43698,2010-12-29,28389,346,1,3399.99
SO43699,2010-12-29,25863,346,1,3399.99
SO43700,2010-12-29,14501,336,1,699.0982
SO43701,2010-12-29,11003,346,1,3399.99
SO43702,2010-12-30,27645,311,1,3578.27
SO43703,2010-12-30,16624,310,1,3578.27
SO43704,2010-12-30,11005,351,1,3374.99
SO43705,2010-12-30,11011,344,1,3399.99
SO43706,2010-12-31,27621,312,1,3578.27
SO43707,2010-12-31,27616,312,1,3578.27
SO43708,2010-12-31,20042,330,1,699.0982
SO43709,2010-12-31,16351,313,1,3578.27
SO43710,2010-12-31,16517,314,1,3578.27
SO43711,2011-01-01,27606,314,1,3578.27
SO43712,2011-01-01,13513,311,1,3578.27
SO43713,2011-01-02,27601,310,1,3578.27
SO43714,2011-01-02,13591,311,1,3578.27
SO43715,2011-01-02,16483,314,1,3578.27
SO43716,2011-01-02,16529,311,1,3578.27
SO43717,2011-01-02,25249,336,1,699.0982
SO43718,2011-01-03,27668,311,1,3578.27
SO43719,2011-01-03,27612,312,1,3578.27
SO43720,2011-01-03,13264,311,1,3578.27
SO43721,2011-01-03,13590,310,1,3578.27
SO43722,2011-01-04,13581,312,1,3578.27
SO43723,2011-01-04,14520,332,1,699.0982
SO43724,2011-01-04,16520,311,1,3578.27
SO43725,2011-01-05,13258,311,1,3578.27
SO43726,2011-01-05,14560,332,1,699.0982
SO43727,2011-01-05,16607,311,1,3578.27
SO43728,2011-01-06,27666,313,1,3578.27
SO43729,2011-01-06,11238,346,1,3399.99
SO43730,2011-01-06,25861,346,1,3399.99
SO43731,2011-01-06,16629,314,1,3578.27
SO43732,2011-01-06,11025,350,1,3374.99
SO43733,2011-01-06,27577,312,1,3578.27
SO43734,2011-01-07,27604,312,1,3578.27
SO43735,2011-01-07,16522,310,1,3578.27
SO43736,2011-01-07,11002,346,1,3399.99
SO43737,2011-01-08,13261,311,1,3578.27
SO43738,2011-01-08,11606,312,1,3578.27
SO43739,2011-01-08,13563,310,1,3578.27
SO43740,2011-01-08,16527,312,1,3578.27
SO43741,2011-01-09,27671,310,1,3578.27
SO43742,2011-01-09,13576,314,1,3578.27
SO43743,2011-01-09,11007,347,1,3399.99
SO43744,2011-01-09,16631,313,1,3578.27
SO43745,2011-01-10,16514,311,1,3578.27
SO43746,2011-01-10,16616,312,1,3578.27
SO43747,2011-01-11,27623,314,1,3578.27
SO43748,2011-01-11,27625,313,1,3578.27
SO43749,2011-01-11,27636,314,1,3578.27
SO43750,2011-01-11,11591,311,1,3578.27
SO43751,2011-01-11,11592,313,1,3578.27
SO43752,2011-01-11,13265,311,1,3578.27
SO43753,2011-01-11,16482,310,1,3578.27
SO43754,2011-01-12,27617,312,1,3578.27
SO43755,2011-01-12,27670,311,1,3578.27
SO43756,2011-01-12,19941,332,1,699.0982
SO43757,2011-01-12,11017,350,1,3374.99
SO43758,2011-01-13,27646,310,1,3578.27
SO43759,2011-01-13,13257,310,1,3578.27
SO43760,2011-01-13,16352,314,1,3578.27
SO43761,2011-01-13,16493,310,1,3578.27
SO43762,2011-01-14,27578,314,1,3578.27
SO43763,2011-01-14,16525,313,1,3578.27
SO43764,2011-01-14,16612,310,1,3578.27
SO43765,2011-01-14,11010,346,1,3399.99
SO43766,2011-01-15,16518,313,1,3578.27
SO43767,2011-01-15,11001,350,1,3374.99
SO43768,2011-01-16,27649,312,1,3578.27
SO43769,2011-01-16,21659,312,1,3578.27
SO43770,2011-01-16,27614,312,1,3578.27
SO43771,2011-01-16,14559,330,1,699.0982
SO43772,2011-01-16,16524,312,1,3578.27
SO43773,2011-01-16,16526,314,1,3578.27
SO43774,2011-01-16,16348,313,1,3578.27
SO43775,2011-01-16,11027,347,1,3399.99
SO43776,2011-01-17,13260,314,1,3578.27
SO43777,2011-01-17,16515,311,1,3578.27
SO43778,2011-01-17,11018,345,1,3399.99
SO43779,2011-01-17,25252,326,1,699.0982
SO43780,2011-01-18,11599,311,1,3578.27
SO43781,2011-01-18,16495,312,1,3578.27
SO43782,2011-01-18,16516,312,1,3578.27
SO43783,2011-01-18,16620,312,1,3578.27
SO43784,2011-01-19,27667,310,1,3578.27
SO43785,2011-01-19,11601,311,1,3578.27
SO43786,2011-01-19,11607,311,1,3578.27
SO43787,2011-01-19,29385,344,1,3399.99
SO43788,2011-01-19,11239,351,1,3374.99
SO43789,2011-01-19,25865,351,1,3374.99
SO43790,2011-01-19,25857,344,1,3399.99
